,fecha_atencion,atenciones_por_dia
0,2022-01-02,223
1,2022-01-03,242
2,2022-01-04,264
3,2022-01-05,70
4,2022-01-06,573
5,2022-01-07,401
6,2022-01-08,413
7,2022-01-09,349
8,2022-01-10,45
9,2022-01-11,306
10,2022-01-12,377
11,2022-02-01,44
12,2022-02-02,333
13,2022-02-03,379
14,2022-02-04,54
15,2022-02-05,225
16,2022-02-06,492
17,2022-02-07,69
18,2022-02-08,393
19,2022-02-09,319
20,2022-02-10,31
21,2022-02-11,363
22,2022-02-12,324
23,2022-03-01,308
24,2022-03-02,278
25,2022-03-03,404
26,2022-03-04,50
27,2022-03-05,304
28,2022-03-06,483
29,2022-03-07,64
30,2022-03-08,382
31,2022-03-09,94
32,2022-03-10,323
33,2022-03-11,298
34,2022-03-12,26
35,2022-04-01,392
36,2022-04-02,267
37,2022-04-03,344
38,2022-04-04,337
39,2022-04-05,249
40,2022-04-06,101
41,2022-04-07,36
42,2022-04-08,466
43,2022-04-09,48
44,2022-04-10,393
45,2022-04-11,220
46,2022-04-12,50
47,2022-05-01,284
48,2022-05-02,49
49,2022-05-03,39
50,2022-05-04,232
51,2022-05-05,300
52,2022-05-06,69
53,2022-05-07,470
54,2022-05-08,389
55,2022-05-09,390
56,2022-05-10,245
57,2022-05-11,62
58,2022-05-12,393
59,2022-06-01,331
60,2022-06-02,28
61,2022-06-03,37
62,2022-06-04,254
63,2022-06-05,318
64,2022-06-06,416
65,2022-06-07,341
66,2022-06-08,126
67,2022-06-09,423
68,2022-06-10,312
69,2022-06-11,33
70,2022-06-12,371
71,2022-07-01,236
72,2022-07-02,304
73,2022-07-03,435
74,2022-07-04,376
75,2022-07-05,71
76,2022-07-06,548
77,2022-07-07,352
78,2022-07-08,89
79,2022-07-09,388
80,2022-07-10,284
81,2022-07-11,36
82,2022-07-12,277
83,2022-08-01,40
84,2022-08-02,350
85,2022-08-03,382
86,2022-08-04,335
87,2022-08-05,57
88,2022-08-06,490
89,2022-08-07,363
90,2022-08-08,480
91,2022-08-09,318
92,2022-08-10,62
93,2022-08-11,425
94,2022-08-12,32
95,2022-09-01,37
96,2022-09-02,276
97,2022-09-03,372
98,2022-09-04,43
99,2022-09-05,364
100,2022-09-06,355
101,2022-09-07,49
102,2022-09-08,575
103,2022-09-09,329
104,2022-09-10,38
105,2022-09-11,361
106,2022-09-12,278
107,2022-10-01,52
108,2022-10-02,214
109,2022-10-03,391
110,2022-10-04,96
111,2022-10-05,532
112,2022-10-06,413
113,2022-10-07,58
114,2022-10-08,484
115,2022-10-09,41
116,2022-10-10,301
117,2022-10-11,317
118,2022-10-12,36
119,2022-11-01,303
120,2022-11-02,277
121,2022-11-03,386
122,2022-11-04,405
123,2022-11-05,369
124,2022-11-06,71
125,2022-11-07,548
126,2022-11-08,441
127,2022-11-09,29
128,2022-11-10,498
129,2022-11-11,323
130,2022-11-12,29
131,2022-12-01,336
132,2022-12-02,67
133,2022-12-03,45
134,2022-12-04,316
135,2022-12-05,366
136,2022-12-06,64
137,2022-12-07,382
138,2022-12-08,421
139,2022-12-09,389
140,2022-12-10,321
141,2022-12-11,42
142,2022-12-12,429
143,2023-01-01,14
144,2023-01-02,376
145,2023-01-03,450
146,2023-01-04,301
147,2023-01-05,323
148,2023-01-06,206
149,2023-01-07,19
150,2023-01-08,22
151,2023-01-09,39
152,2023-01-10,248
153,2023-01-11,270
